comment,hospital,star,rating,sentiment,cleaned_comment
"Đội ngũ y bác sĩ các phòng làm việc khá chậm,nhân viên bảo vệ cũng khó chịu, xua đuổi cả ng nhà bệnh nhân đang trông nôm",Bệnh Viện Trung Ương Huế Cơ Sở 2,1 sao,"3,5",Tệ,"đội ngũ y bác sĩ các phòng làm việc khá chậm,nhân viên bảo vệ cũng khó chịu, xua đuổi cả người nhà bệnh nhân đang trông nôm"
"Bệnh viện tư nhân sạch sẽ ,y bác sĩ khám nhiệt tình",BỆNH VIỆN ĐA KHOA THU PHÚC,4 sao,"2,9",Tốt,"bệnh viện tư nhân sạch sẽ ,y bác sĩ khám nhiệt tình"
"Tôi hài lòng với dịch vụ khám bên bệnh viện. Nội soi nhẹ nhàng, nhân viên nhiệt tình chu đáo. Tôi sẽ giới thiệu người thân bạn bè",Bệnh viện Đa Khoa Phương Đông,5 sao,"4,5",Tốt,"tôi hài lòng với dịch vụ khám bên bệnh viện. nội soi nhẹ nhàng, nhân viên nhiệt tình chu đáo. tôi sẽ giới thiệu người thân bạn bè"
"Sang khám tai mũi họng, được bác sĩ nội soi nhẹ nhàng, tư vấn nhiệt tình",Bệnh viện Đa khoa Hà Thành,5 sao,"2,8",Tốt,"sang khám tai mũi họng, được bác sĩ nội soi nhẹ nhàng, tư vấn nhiệt tình"
"Cổng Bv đông đúc kẹt xe
Trước cổng Bv rất nhiều Cò hướng dẫn bệnh nhân ra ngoài mua sổ ( đây thực chất là dịch vụ tư nhân bên ngoài ) …",Bệnh viện Ung bướu TP. HCM,2 sao,"2,8",Tệ,"cổng bệnh viện đông đúc kẹt xe
trước cổng bệnh viện rất nhiều cò hướng dẫn bệnh nhân ra ngoài mua sổ ( đây thực chất là dịch vụ tư nhân bên ngoài ) …"
"BV sạch sẽ, thoáng, điều dưỡng , bs dễ thương. Người nhà tôi bị gãy chân nằm khoa CTCH mà được chăm sóc chu đáo, vui vẻ. Cảm ơn khoa nhiều",Bệnh Viện Đa Khoa Hồng Đức III,5 sao,"3,0",Tốt,"bệnh viện sạch sẽ, thoáng, điều dưỡng , bác sĩ dễ thương. người nhà tôi bị gãy chân nằm khoa ctch mà được chăm sóc chu đáo, vui vẻ. cảm ơn khoa nhiều"
Bệnh viện khang trang với đội ngũ y bác sĩ giỏi.,Bệnh viện Quân y 13,4 sao,"4,2",Tốt,bệnh viện khang trang với đội ngũ y bác sĩ giỏi.
"Bệnh viện Đa khoa Bảo Sơn được xây dựng hiện đại, là địa chỉ y tế uy tín cho người dân có nhu cầu khám chữa bệnh khu vực phía nam huyện yên thành",Bệnh Viện đa khoa Bảo Sơn,5 sao,"3,9",Tốt,"bệnh viện đa khoa bảo sơn được xây dựng hiện đại, là địa chỉ y tế uy tín cho người dân có nhu cầu khám chữa bệnh khu vực phía nam huyện yên thành"
"Phòng ốc khang trang, mỗ tại đây 2 lần, khá thất vọng. Bác sĩ mỗ dọa nạt bệnh nhân, than vãn. Sau khi mỗ xong ko rút kim luồn ra, miếng dán điện vô cực để nguyên ko tháo ra. 2 lần đều như vậy. Mỗ xong cho zô phòng lạnh run người. Bất đắc dĩ …",Bệnh viện Quốc tế Minh Anh,2 sao,"3,8",Tệ,"phòng ốc khang trang, mỗ tại đây 2 lần, khá thất vọng. bác sĩ mỗ dọa nạt bệnh nhân, than vãn. sau khi mỗ xong không rút kim luồn ra, miếng dán điện vô cực để nguyên không tháo ra. 2 lần đều như vậyậy. mỗ xong cho zô phòng lạnh run người. bất đắc dĩ …"
Nơi khám và chữa bệnh tân tâm,Bệnh Viện Đa Khoa Huyện Tư Nghĩa,4 sao,"3,4",Tốt,nơi khám và chữa bệnh tân tâm
"Bệnh viện cơ sở 2 to hơn rộng hơn BV Việt tiệp ở trung tâm. cơ sở vật chất tốt hơn nhiều, rộng rãi, sạch sẽ thoáng mát hơn. Đông vào buổi sáng, tối rất vắng vẻ. …",Bệnh viện Hữu nghị Việt Tiệp - Cơ sở 2,5 sao,"3,9",Tốt,"bệnh viện cơ sở 2 to hơn rộng hơn bệnh viện việt tiệp ở trung tâm. cơ sở vật chất tốt hơn nhiều, rộng rãi, sạch sẽ thoáng mát hơn. đông vào buổi sáng, tối rất vắng vẻ. …"
"Bãi gửi xe trong bệnh viện không được tốt lắm. Xe để tuốt sâu bên trong góc ko lấy ra được, nhờ bác bảo vệ vào đẩy thì bác không chịu. Tự mình đẩy xe ra mất cả 30 phút. Thật sự rất chán",Bệnh viện Nhi đồng - Cổng 3,1 sao,"2,5",Tệ,"bãi gửi xe truyền bệnh viện không được tốt lắm. xe để tuốt sâu bên truyền góc không lấy ra được, nhờ bác bảo vệ vào đẩy thì bác không chịu. tự mình đẩy xe ra mất cả 30 phút. thật sự rất chán"
"Bác sĩ thái độ thái độ rất tệ, dịch vụ kém chất lượng",Bệnh viện Đa khoa TP. Đồng Hới,1 sao,"3,2",Tệ,"bác sĩ thái độ thái độ rất tệ, dịch vụ kém chất lượng"
"Bác sĩ khám thì k có vấn đề gì lắm
Nhưng bác sĩ đo mắt mình thấy hết sức buồn cười nha :)). Mình bị đau mắt trước khi khám chỉ hỏi là “Anh ơi, sao em đau mắt mà phải đo mắt vậy anh ?” Xong bác sĩ …",Bệnh viện Mắt Hải Phòng,2 sao,"4,1",Tệ,"bác sĩ khám thì không có vấn đề gì lắm
nhưng bác sĩ đo mắt mình thấy hết sức buồn cười nha :)). mình bị đau mắt trước khi khám chỉ hỏi là “anh ơi, sao em đau mắt mà phải đo mắt vậy anh ?” xong bác sĩ …"
"Nhân viên giữ xe ăn nói thiếu lịch sự nhé.
Ý kiến cho có chứ lãnh đạo bv này chẳng quan tâm. Giờ mình cần thì đành thôi .",Bệnh viện Ung bướu tỉnh Khánh Hòa,1 sao,"3,0",Tệ,"nhân viên giữ xe ăn nói thiếu lịch sự nhé.
ý kiến cho có chứ lãnh đạo bệnh viện này chẳng quan tâm. giờ mình cần thì đành thôi ."
"Bệnh viện Đa khoa Vĩnh Đức được thành lập ngày 17 tháng 10 năm 2006, là bệnh viện tư nhân đầu tiên ở vùng nông thôn Quảng Nam. Kể từ ngày thành lập đến nay Bệnh viện Đa khoa Vĩnh Đức đã thực hiện khám chữa bệnh cho hàng triệu lượt khám bệnh …",Bệnh Viện Đa Khoa Khu Vực Quảng Nam,4 sao,"3,4",Tốt,"bệnh viện đa khoa vĩnh đức được thành lập ngày 17 tháng 10 năm 2006, là bệnh viện tư nhân đầu tiên ở vùng nông thôn quảng nam. kể từ ngày thành lập đến nay bệnh viện đa khoa vĩnh đức đã thực hiện khám chữa bệnh cho hàng triệu lượt khám bệnh …"
Mắt có vấn đề nhưng khám vẫn ra 10/10,Bệnh Viện Mắt Thanh Hóa,2 sao,"3,1",Tệ,mắt có vấn đề nhưng khám vẫn ra 10/10
"Bảo vệ của bệnh viện rất khó chịu luôn , xe vô đỗ không biết hỏi chổ đỗ thì nói không có , bảo vệ chỉ chổ cho đỗ xe xong xin 100k này là nữa đêm r , đến gần sáng bảo vệ đuổi chưởi không cho đỗ nữa , mình có 1 thắc mắt bv lớn vậy mà không có chổ đỗ xe là sao",Bệnh viện Đa khoa Trung ương Cần Thơ,1 sao,"2,5",Tệ,"bảo vệ của bệnh viện rất khó chịu luôn , xe vô đỗ không biết hỏi chổ đỗ thì nói không có , bảo vệ chỉ chổ cho đỗ xe xong xin 100k này là nữa đêm rồi, đến gần sáng bảo vệ đuổi chưởi không cho đỗ nữa , mình có 1 thắc mắt bệnh viện lớn vậy mà không có chổ đỗ xe là sao"
Cảm ơn đội ngũ bác sĩ Win pet đã đưa bé từ tay tử thần trở về với gia đình em. Đội ngũ bác sĩ trẻ đầy nhiệt huyết - thân thiện lắm ạ. Là 1 địa chỉ tin cậy để gửi lắm các bé ạ.,Bệnh viện thú y WinPet Huế,5 sao,"4,4",Tốt,cảm ơn đội ngũ bác sĩ win pet đã đưa bé từ tay tử thần trở về với gia đình em. đội ngũ bác sĩ trẻ đầy nhiệt huyết - thân thiện lắm ạ. là 1 địa chỉ tin cậy để gửi lắm các bé ạ.
"tái khám 10/10 sau mổ cạn. Người nhà giới thiệu, đến bệnh viện thăm khám được tư vấn nhiệt tình lắm. Bv khang trang, mổ cận tại tại khu VIP được BS giám đốc mổ trực tiếp nên an tâm nha! Chính thức hết cạn sau 10 năm.",Bệnh viện Mắt Sài Gòn Cần Thơ,5 sao,"4,6",Tốt,"tái khám 10/10 sau phẫu thuật cạn. người nhà giới thiệu, đến bệnh viện thăm khám được tư vấn nhiệt tình lắm. bệnh viện khang trang, phẫu thuật cận tại tại khu vip được bác sĩ giám đốc phẫu thuật trực tiếp nên an tâm nha! chính thức hết cạn sau 10 năm."
Bệnh viện rất nhiệt tình trừ phòng khám phụ khoa nhân viên rất thái độ đi 2 lần thái độ rất gắt hỏi thì mặt ra vẻ khó chịu,BỆNH VIỆN ĐA KHOA HÀ NỘI - CAO BẰNG,1 sao,"4,0",Tệ,bệnh viện rất nhiệt tình trừ phòng khám phụ khoa nhân viên rất thái độ đi 2 lần thái độ rất gắt hỏi thì mặt ra vẻ khó chịu
"Mình hài lòng với dịch vụ hướng dẫn của phòng khám, tuy nhiên hôm nay mình đi khám tổng quát và đến phần đọc bảng kết quả, mình vào gặp bsi nội tổng quát từ bênh viện Chợ Rẫy về, mình ko hài lòng về dịch vụ đọc kết quả vì 3 vấn đề: …",Phòng khám đa khoa 27-4,3 sao,"4,9",Trung tính,"mình hài lòng với dịch vụ hướng dẫn của phòng khám, tuyến nhiên hôm nay mình đi khám tổng quát và đến phần đọc bảng kết quả, mình vào gặp bsi nội tổng quát từ bênh viện chợ rẫy về, mình không hài lòng về dịch vụ đọc kết quả vì 3 vấn đề: …"
"Mang tiếng là trung tâm y tế thành phố, tuy nhiên đây chỉ có lẽ hơn trạm y tế phường một chút.
Nơi gửi xe quá chật hẹp, mà thật ra là tận dụng vỉa hè bên suối còn sân trung …",Trung tâm Y Tế Thành Phố Đà Lạt,2 sao,"2,9",Tệ,"mang tiếng là trung tâm y tế thành phố, tuyến nhiên đây chỉ có lẽ hơn trạm y tế phường một chút.
nơi gửi xe quá chật hẹp, mà thật ra là tận dụng vỉa hè bên suối còn sân trung …"
"Mình cũng tìm hiểu kỹ rồi mới đến BV, mình biết uy tín của Tập Đoàn Y khoa Hoàn Mỹ nên mình cũng lựa chọn Bv Hoàn Mỹ ở Đà Lạt thay vì đi khám ở Bv Lâm đồng hay các phòng khám ngoài khác nhưng mà đây sẽ là những gì mình cảm nhận dc khi khám …",Bệnh viện Hoàn Mỹ Đà Lạt,3 sao,"3,5",Trung tính,"mình cũng tìm hiểu kỹ rồi mới đến bệnh viện, mình biết uy tín của tập đoàn y khoa hoàn mỹ nên mình cũng lựa chọn bệnh viện hoàn mỹ ở đà lạt thay vì đi khám ở bệnh viện lâm đồng hay các phòng khám ngoài khác nhưng mà đây sẽ là những gì mình cảm nhận dc khi khám …"
Sẽ không bao giờ quay lại nữa. Bác sĩ đến y tá  cực kì thái độ. Khám sơ sài.,Phòng Khám Đa Khoa Việt Hàn,1 sao,"3,8",Tệ,sẽ không bao giờ quay lại nữa. bác sĩ đến y tá  cực kì thái độ. khám sơ dùng.
"Chỉ 1 từ thôi quá ""tệ """,Bệnh viện Nội Tiết Thanh Hóa,1 sao,"3,5",Tệ,"chỉ 1 từ thôi quá ""tệ """
Bị bệnh phụ khoa nam.đến đây tiêm hết 1tr5 bác sỹ thì ns chắc như đinh đóng cột.Lại còn thuốc này có bảo hành nên cháu yên tâm.giờ thì tiền mất tật mang bệnh chuyển sang mạn tính.uy tín quá!,Bệnh viện Đa Khoa Việt Bắc I,1 sao,"2,7",Tệ,bị bệnh phụ khoa nam.đến đây tiêm hết 1tr5 bác sỹ thì ns chắc như đinh đóng cột.lại còn thuốc này có bảo hành nên cháu yên tâm.giờ thì tiền mất tật mang bệnh chuyển sang mạn tính.uy tín quá!
Khá tốt,Bệnh viện Đa Khoa Việt Bắc I,4 sao,"2,7",Tốt,khá tốt
"14h bác sỹ chưa làm việc. Vẻ vời xét nghiệm đủ kiểu
Bó bột thì chả trúng trật gì.
Biết vậy lên B21 Quân Y sớm thì tốt. Quá tệ …",Bệnh Viện Phúc Hưng,1 sao,"3,1",Tệ,"14h bác sỹ chưa làm việc. vẻ vời xét nghiệm đủ kiểu
bó bột thì chả trúng trật gì.
biết vậy lên b21 quân y sớm thì tốt. quá tệ …"
Nơi điều trị bệnh phổi,Bệnh Viện Lao & Bệnh Phổi Tỉnh Quảng Ngãi,5 sao,"3,1",Tốt,nơi điều trị bệnh phổi
"MẤY Ả LÀM Ở BỆNH VIỆN QUÁ TỆ, TƯƠNG GIẢ, KHINH THƯỜNG NGƯỜI KHÁC, CHO NGHỈ VIỆC SỚM ĐỂ ĐỠ Ô NHIỄM BỆNH VIỆN NHÉ!!!!!!",Bệnh viện Đa khoa Nam Đàn,1 sao,"3,0",Tệ,"mấy ả làm ở bệnh viện quá tệ, tương giả, khinh thường người khác, cho nghỉ việc sớm để đỡ ô nhiễm trùng bệnh viện nhé!!!!!!"
"Bác sĩ trẻ và phụ tá bên phía dịch vụ tư vấn khá tốt. Cho thuốc uống và bôi tầm 1 tuần là đỡ.
Ở đây chuyên trị các bệnh, triệu chứng về da và cũng có bộ phận thẩm mỹ cho da …",Bệnh viện Da Liễu tỉnh Khánh Hoà,4 sao,"3,3",Tốt,"bác sĩ trẻ và phụ tá bên phía dịch vụ tư vấn khá tốt. cho thuốc uống và bôi tầm 1 tuần là đỡ.
ở đây chuyên trị các bệnh, triệu chứng về da liễu và cũng có bộ phận thẩm mỹ cho da liễu …"
"Nhân viên lấy máu tại khoa xét nghiệm rất tuyệt vời. Con tôi đã đi những bệnh viện như 600 giường, Hoàn Mỹ, Gia đình. Họ đều lấy máu nhiều lần mới được máu. Ở đây đi 2 lần đều 1 phát ăn ngay. Cảm ơn",Bệnh viện Đa khoa Tâm Trí Quảng Nam,5 sao,"4,4",Tốt,"nhân viên lấy máu tại khoa xét nghiệm rất tuyệt vời. con tôi đã đi những bệnh viện như 600 giường, hoàn mỹ, gia đình. họ đều lấy máu nhiều lần mới được máu. ở đây đi 2 lần đều 1 phát ăn ngay. cảm ơn"
Bực mình thật sự mình đăng ký giấy phép lái xe xét nghiệm máu đầy đủ các thứ khám rất đơn giản để cho nhanh đi đăng ký mà nhờ ơn cái kq xét nghiệm máu quá lâu mà mình đã hết phần để đăng ký trong khi đó qua năm thi luật mới rất khó so vs …,Bệnh Viện Đa Khoa Tỉnh Bình Định,1 sao,"2,8",Tệ,bực mình thật sự mình đăng ký giấy phép lái xe xét nghiệm máu đầy đủ các thứ khám rất đơn giản để cho nhanh đi đăng ký mà nhờ ơn cái kết quả xét nghiệm máu quá lâu mà mình đã hết phần để đăng ký truyền khi đó qua năm thi luật mới rất khó so vs …
"24h mà gửi xe mới 11h đóng cửa không cho láy xe về , nhân viên thì ăn nói không ra gì  . Quá tệ",Bệnh Viện Bệnh Nhiệt Đới Khánh Hòa,1 sao,"3,1",Tệ,"24h mà gửi xe mới 11h đóng cửa không cho láy xe về , nhân viên thì ăn nói không ra gì  . quá tệ"
"Nhân viên dễ thương, khám chữa nhanh chóng, không gian sạch sẽ",Bệnh Viện MEDIC Cà Mau,5 sao,"4,7",Tốt,"nhân viên dễ thương, khám chữa nhanh chóng, không gian sạch sẽ"
"Bệnh viện làm việc rất nhanh chóng
Cơ bản là buổi sáng tiếp đón bệnh nhận bốc số rồi vào lấy mẫu xét nghiệm. Đến đầu giờ chiều là bắt đầu trả kết quả và bán thuốc. …",Viện Sốt Rét Ký Sinh Trùng Côn Trùng Quy Nhơn,5 sao,"3,4",Tốt,"bệnh viện làm việc rất nhanh chóng
cơ bản là buổi sáng tiếp đón bệnh nhận bốc số rồi vào lấy mẫu xét nghiệm. đến đầu giờ chiều là bắt đầu trả kết quả và bán thuốc. …"
"Chia sẻ Kinh nghiệm 2 lần dẫn người nhà và bản thân đi khám tổng quát, cập nhật tới tháng 10/2024 thuận tiện:
* Trước ngày khám: …",Bệnh viện Đại học Y Dược TP.HCM,4 sao,"3,3",Tốt,"chia sẻ kinh nghiệm 2 lần dẫn người nhà và bản thân đi khám tổng quát, cập nhật tới tháng 10/2024 thuận tiện:
* trước ngày khám: …"
"Thân thiện,  chu đáo,  tận tình.  !!!",Bệnh viện Tâm thần TP. Cần Thơ,5 sao,"4,3",Tốt,"thân thiện,  chu đáo,  tận tình.  !!!"
Tốt. Nhưng hơi hẹp. Bệnh nhân đông quá. Ít ghế ngồi chờ,Khoa Nội Tiết - Bệnh viện tỉnh Cao Bằng,5 sao,"4,0",Tốt,tốt. nhưng hơi hẹp. bệnh nhân đông quá. ít ghế ngồi chờ
Nói chung mình và gđ khám tại bệnh viện thành lợi. Cha mẹ thường xuyên vào nhìn chung thì gđ mình rất hài lòng dịch vụ ở đây nha!! Cách phục vụ tất cả điều làm mình rất hài lòng nhiệt tình dễ thương và chuẩn mựv nhẹ nhàng nếu đáng giá đc 100 sao mình vẫn cho 100 sao nha. Nói chung quá ưng và hài lòng !!,Phòng Khám Đa Khoa Võ Thành Lợi,5 sao,"4,0",Tốt,nói chung mình và gđ khám tại bệnh viện thành lợi. cha mẹ thường xuyên vào nhìn chung thì gđ mình rất hài lòng dịch vụ ở đây nha!! cách phục vụ tất cả điều làm mình rất hài lòng nhiệt tình dễ thương và chuẩn mựv nhẹ nhàng nếu đáng giá được 100 sao mình vẫn cho 100 sao nha. nói chung quá ưng và hài lòng !!
"Mình được giới thiệu đến bệnh viện mắt Quốc tế DMD khi hỏi về mổ mắt cận. Dvu và cơ sở ở đây đều rất tốt, xứng đáng 5sao",Bệnh viện Mắt Quốc Tế DND,5 sao,"4,9",Tốt,"mình được giới thiệu đến bệnh viện mắt quốc tế dmd khi hỏi về phẫu thuật mắt cận. dvu và cơ sở ở đây đều rất tốt, xứng đáng 5sao"
"1 lần đi nội soi, 1 lần đi khám đầu thai kỳ mà thấy rất thích bv 22/12 ạ. Cơ sở vật chất tốt và bệnh viện rất rất sạch. Nhân viên luôn tươi cười và nói chuyện nhẹ nhàng chứ không nạt nộ như nhiều bv khác. Bs siêu âm cũng rất ân cần. Nói chung là mê.",Bệnh viện 22-12,5 sao,"3,6",Tốt,"1 lần đi nội soi, 1 lần đi khám đầu thai kỳ mà thấy rất thích bệnh viện 22/12 ạ. cơ sở vật chất tốt và bệnh viện rất rất sạch. nhân viên luôn tươi cười và nói chuyện nhẹ nhàng chứ không nạt nộ như nhiều bệnh viện khác. bác sĩ siêu âm cũng rất ân cần. nói chung là mê."
"Khám ko tận tâm. Làm qua loa.
Hẹn chủ nhật đến lấy kết quả, mà khi đến lấy lại bảo ko đóng dấu ngày chủ nhật.",Bệnh viện Đa khoa Hà Thành,1 sao,"2,8",Tệ,"khám không tận tâm. làm qua loa.
hẹn chủ nhật đến lấy kết quả, mà khi đến lấy lại bảo không đóng dấu ngày chủ nhật."
Đáng lẽ cho 1 sao vì quầy thu ngân phía ngoài chổ lấy sổ khám bệnh..nc lớn tiếng nạt ng ta..lm như ng ta đi xin bả z.. thấy đáng tuổi cô nên nhịn.. về bác sĩ Vĩnh Tuấn phòng K008 rất chuyên nghiệp và lịch sự cả c thư ký kế bên cũng rất đàng …,Bệnh viện Bình Dân - Khu điều trị Kỹ thuật cao,3 sao,"3,8",Trung tính,đáng lẽ cho 1 sao vì quầy thu ngân phía ngoài chổ lấy sổ khám bệnh..nói chuyện lớn tiếng nạt người ta..làm như người ta đi xin bả z.. thấy đáng tuổi cô nên nhịn.. về bác sĩ vĩnh tuấn phòng k008 rất chuyên nghiệp và lịch sự cả chị thư ký kế bên cũng rất đàng …
nhìn khang trang sạch sẽ,Phòng khám ung bướu 228,4 sao,"4,4",Tốt,nhìn khang trang sạch sẽ
"Bệnh viện của quân đội nên toàn cocc, dân ngu cu đen không có tuổi vào đây ahhihi",Bệnh viện Quân y 13,3 sao,"4,2",Trung tính,"bệnh viện của quân đội nên toàn cocc, dân ngu cu đen không có tuổi vào đây ahhihi"
"Dịch vụ đêm an ninh quá tệ , không thông báo giờ giấc thăm nuôi cho người nhà bệnh nhân và khi bệnh nhân được bác sĩ gọi lên để báo cáo tình trang bệnh của bệnh nhân để đề xuất chuyển viện an ninh thang máy không cho lên vào kêu người thân …",Bệnh viện Đa khoa Yersin Nha Trang,1 sao,"4,3",Tệ,"dịch vụ đêm an ninh quá tệ , không thông báo giờ giấc thăm nuôi cho người nhà bệnh nhân và khi bệnh nhân được bác sĩ gọi lên để báo cáo tình trang bệnh của bệnh nhân để đề xuất chuyển viện an ninh thang máy không cho lên vào kêu người thân …"
"Gần đại học sư phạm
Nằm bên phải đường Bắc Kan",Bệnh viện Mắt Thái Nguyên,5 sao,"3,9",Tốt,"gần đại học sư phạm
nằm bên phải đường bắc kan"
"Mình đến đây để khám sức khoẻ tổng quát. Mình cảm thấy rất hài lòng với phòng khám này. Nhân viên nhiệt tình, vui vẻ, các thủ tục rất nhanh gọn, đặc biệt là nội soi rất nhẹ nhàng, mình rất yên tâm khi đc điều trị ở đây",Phòng Khám Đa Khoa Medic,5 sao,"3,1",Tốt,"mình đến đây để khám sức khỏe tổng quát. mình cảm thấy rất hài lòng với phòng khám này. nhân viên nhiệt tình, vui vẻ, các thủ tục rất nhanh gọn, đặc biệt là nội soi rất nhẹ nhàng, mình rất yên tâm khi được điều trị ở đây"
Tôi thật sự thất vọng về bệnh viện thanh chương này. mọi người không nên đi nhé . Đi bên ngoài còn tốt hơn. Bệnh viện vô lý quá,Bệnh viện đa khoa Thanh Chương,1 sao,"3,0",Tệ,tôi thật sự thất vọng về bệnh viện thanh chương này. mọi người không nên đi nhé . đi bên ngoài còn tốt hơn. bệnh viện vô lý quá
"LÊN ÁN THÁI ĐỘ VÀ KIẾN THỨC CHUYÊN MÔN 😡😡😡😡😡🤬🤬🤬🤬🤬🤬
Bệnh viện tệ nhất trên đời này, từ y tá, bác sĩ chuyên môn rất kém. Thật sự là mình là một người trong ngành y, dẫn người nhà đi khám mà thấy thiếu kiến thức …",Bệnh Viện Đa Khoa Tỉnh Bình Định,1 sao,"2,8",Tệ,"lên án thái độ và kiến thức chuyên môn 😡😡😡😡😡🤬🤬🤬🤬🤬🤬
bệnh viện tệ nhất trên đời này, từ y tá, bác sĩ chuyên môn rất kém. thật sự là mình là một người truyền ngành y, dẫn người nhà đi khám mà thấy thiếu kiến thức …"
