comment,hospital,star,rating,sentiment,cleaned_comment
"Chất lượng khám rất tốt!
Điểm trừ duy nhất là chờ lâu, thực tế thì cũng không trách được vì bệnh nhân tới khám rất đông.",Bệnh viện Tim Hà Nội,4 sao,"3,8",Tốt,"chất lượng khám rất tốt!
điểm trừ duy nhất là chờ lâu, thực tế thì cũng không trách được vì bệnh nhân tới khám rất đông."
"Hẹp, bẩn nơi để sổ phát thuốc hay thu tiền ở linh tinh người lần đầu chỉ có mệt. Thái độ bác sỹ tốt, tiếp tâm thì một vài người là mẹ bệnh nhân.",Bệnh viện Tim Hà Nội,2 sao,"3,8",Tệ,"hẹp, bẩn nơi để sổ phát thuốc hay thu tiền ở linh tinh người lần đầu chỉ có mệt. thái độ bác sỹ tốt, tiếp tâm thì một vài người là mẹ bệnh nhân."
"Quán đồ ăn hàn quốc(ngõ 84 quán sứ) ngay cạnh bệnh viện tim, có chỗ ngồi điều hòa cho khách hàng.Cô bác trong thời gian chờ lấy kết quả buổi trưa, có thể ghé ăn uống nghỉ ngơi, giá cả bình dân từ 50k-65k.",Bệnh viện Tim Hà Nội,5 sao,"3,8",Tốt,"quán đồ ăn hàn quốc(ngõ 84 quán sứ) ngay cạnh bệnh viện tim mạch, có chỗ ngồi điều hòa cho khách hàng.cô bác truyền thời gian chờ lấy kết quả buổi trưa, có thể ghé ăn uống nghỉ ngơi, giá cả bình dân từ 50k-65k."
"Bệnh viện nhỏ nhưng sạch sẽ, bệnh nhân không quá tải như tuyến trung ương nên dễ dàng được thăm khám và trả kết quả sớm. Nhân viên y tế trẻ trung, niềm nở chứ mình không thấy khó khăn gì",Bệnh Viện Thận Hà Nội,5 sao,"3,5",Tốt,"bệnh viện nhỏ nhưng sạch sẽ, bệnh nhân không quá tải như tuyến trung ương nên dễ dàng được thăm khám và trả kết quả sớm. nhân viên y tế trẻ trung, niềm nở chứ mình không thấy khó khăn gì"
"Nơi tiếp nhận bệnh nhân điều trị Thận và nam học, ngay trung tâm thành phố với đội ngũ bác ãy chuyên nghiệp và giỏi, bạn sẽ an tâm khi đến đây khám và điều trị.",Bệnh Viện Thận Hà Nội,5 sao,"3,5",Tốt,"nơi tiếp nhận bệnh nhân điều trị thận và nam học, ngay trung tâm thành phố với đội ngũ bác ãy chuyên nghiệp và giỏi, bạn sẽ an tâm khi đến đây khám và điều trị."
"Không biết bác sỹ điều trị thế nào chứ bác sỹ phòng khám ko chấp nhận đc. Đến từ 6h20 mà mãi tận 8h20 mới đến lượt, dù ko đông .giờ làm việc 7h30 (có một số bác sỹ đến sớm và rất đúng giờ) 1 số bác sỹ rất đủng đỉnh. phải đến 8h00 mới gọi …",Bệnh Viện Thận Hà Nội,1 sao,"3,5",Tệ,"không biết bác sỹ điều trị thế nào chứ bác sỹ phòng khám không chấp nhận được. đến từ 6h20 mà mãi tận 8h20 mới đến lượt, dù không đông .giờ làm việc 7h30 (có một số bác sỹ đến sớm và rất đúng giờ) 1 số bác sỹ rất đủng đỉnh. phải đến 8h00 mới gọi …"
"Vào khoa khám yêu cầu mất 300k r mà Xếp số 9 mà từ 13:30 đến 15h ms đc vào khám bệnh nhân thì vắng, bsi nc điện thoại suốt quá trình làm việc (p408) gọi điện liên tục k qtam bệnh nhân làm chậm trễ vc khám chữa bệnh.Cả ng già trẻ nhỏ đợi chờ …",Bệnh viện Bạch Mai,1 sao,"4,3",Tệ,"vào khoa khám yêu cầu mất 300k rồimà xếp số 9 mà từ 13:30 đến 15h mới được vào khám bệnh nhân thì vắng, bsi nói chuyện điện thoại suốt quá trình làm việc (p408) gọi điện liên tục không qtam bệnh nhân làm chậm trễ vc khám chữa bệnh.cả người già trẻ nhỏ đợi chờ …"
"Lần đầu đưa người thân đi khám
Bệnh viện đón tiếp bệnh nhân rất chu đáo, thân thiện nhiệt tình, bệnh nhân rất đông nhưng không lộn xộn, khám lấy số rất nhanh tiện lợi dễ hiểu. Mong BV phát …",Bệnh viện Bạch Mai,5 sao,"4,3",Tốt,"lần đầu đưa người thân đi khám
bệnh viện đón tiếp bệnh nhân rất chu đáo, thân thiện nhiệt tình, bệnh nhân rất đông nhưng không lộn xộn, khám lấy số rất nhanh tiện lợi dễ hiểu. mong bệnh viện phát …"
"tôi khám dịch vụ của bệnh viện, mà đợi chụp mri từ 9h30 sáng tới tận 19h20 phút mới được chụp. dịch vụ chi trả cao mà chất lượng vẫn thấp kém. cổng bệnh viện nhốn nháo toàn dân xã hội. nói chung là kém vô cùng tận",Bệnh viện Bạch Mai,1 sao,"4,3",Tệ,"tôi khám dịch vụ của bệnh viện, mà đợi chụp chụp cộng hưởng từ từ 9h30 sáng tới tận 19h20 phút mới được chụp. dịch vụ chi trả cao huyết áp mà chất lượng vẫn thấp kém. cổng bệnh viện nhốn nháo toàn dân xã hội. nói chung là kém vô cùng tận"
"đợt vừa rồi nhà mình có người ốm phải quay lại viện, so với trước mình chụp chiếu nhanh hơn với lại nhân viên chụp cộng hưởng từ rất tử tế. Các thủ tục hay thời gian đợi đều được các bạn thông báo cụ thể cũng nhanh chóng, mình với mẹ không phải đợi quá lâu. Cũng được các bạn hướng dẫn cụ thể chứ không qua loa",Bệnh viện Bạch Mai,5 sao,"4,3",Tốt,"đợt vừa rồi nhà mình có người ốm phải quay lại viện, so với trước mình chụp chiếu nhanh hơn với lại nhân viên chụp cộng hưởng từ rất tử tế. các thủ tục hay thời gian đợi đều được các bạn thông báo cụ thể cũng nhanh chóng, mình với mẹ không phải đợi quá lâu. cũng được các bạn hướng dẫn cụ thể chứ không qua loa"
"1 trong những Bệnh viện đa khoa tuyến cuối của đất nước - Trực thuộc Bộ Y Tế (1 trong những Cơ quan do Chính Phủ quản lý), tuy có khu vực vẫn còn lộn xộn (Đặc biệt là trước cổng chính) nhưng đội ngũ Y, Bác sĩ rất giỏi và cực kỳ giỏi, chữa …",Bệnh viện Bạch Mai,5 sao,"4,3",Tốt,"1 truyền những bệnh viện đa khoa tuyến cuối của đất nước - trực thuộc bộ y tế (1 truyền những cơ quan đo chính phủ quản lý), tuyến có khu vực vẫn còn lộn xộn (đặc biệt là trước cổng chính) nhưng đội ngũ y, bác sĩ rất giỏi và cực kỳ giỏi, chữa …"
"Bệnh viện có cơ sở vật chất đầy đủ, chất lượng. Các bác sĩ, y tá tận tình, chuyên nghiệp. Đội ngũ  nhân viên nhiệt tình, chu đáo.",Bệnh viện Bạch Mai,5 sao,"4,3",Tốt,"bệnh viện có cơ sở vật chất đầy đủ, chất lượng. các bác sĩ, y tá tận tình, chuyên nghiệp. đội ngũ  nhân viên nhiệt tình, chu đáo."
"Mấy bạn y tá trẻ và bảo vệ khá chu đáo. Tuy nhiên bố mình vào cấp cứu từ 4h đêm đến 9h vẫn đang đợi khám. Chẳng biết bác sĩ là ai mà vài người qua cầm hồ sơ đọc đọc nói nói vài câu xong đi luôn, cũng không có hướng dẫn cụ thể cần làm gì, …",Bệnh viện Bạch Mai,1 sao,"4,3",Tệ,"mấy bạn y tá trẻ và bảo vệ khá chu đáo. tuyến nhiên bố mình vào cấp cứu từ 4h đêm đến 9h vẫn đang đợi khám. chẳng biết bác sĩ là ai mà vài người qua cầm hồ sơ đọc đọc nói nói vài câu xong đi luôn, cũng không có hướng dẫn cụ thể cần làm gì, …"
Bệnh viện tuyến đầu của cả nước nên lượng bệnh nhân và người thăm khám luôn quá tải. Trân trọng đội ngũ nhân viên bác sĩ của viện làm việc vất vả ngày đêm. Hy vọng cơ sở vật chất sẽ cải thiện hơn nữa để đáp ứng với chất lượng dịch vụ,Bệnh viện Bạch Mai,4 sao,"4,3",Tốt,bệnh viện tuyến đầu của cả nước nên lượng bệnh nhân và người thăm khám luôn quá tải. trân trọng đội ngũ nhân viên bác sĩ của viện làm việc vất vả ngày đêm. hy vọng cơ sở vật chất sẽ cải thiện hơn nữa để đáp ứng với chất lượng dịch vụ
"Bệnh viện tuyến đầu với nhiều bác sĩ giỏi, việc tư vấn phân tích cho người nhà bệnh nhân rất quan trọng, cần phải phân tích hết các khả năng có thể xảy ra với người bệnh thì BV Bạch Mai làm rất tốt. Mẹ tôi điều trị tại Hồi sức tích cực và …",Bệnh viện Bạch Mai,5 sao,"4,3",Tốt,"bệnh viện tuyến đầu với nhiều bác sĩ giỏi, việc tư vấn phân tích cho người nhà bệnh nhân rất quan trọng, cần phải phân tích hết các khả năng có thể xảy ra với người bệnh thì bệnh viện bạch mai làm rất tốt. mẹ tôi điều trị tại hồi sức tích cực và …"
"Bệnh viện tệ hại nhất mình từng nằm , nằm 1 tuần , nha vs thì như cái cống , mình bị mất trộm dt , thái độ y tá thì chửi như tát nước vào mặt bệnh nhân với người nhà ( ngta k biet mới hỏi hỏi k muốn tl thi câm mẹ mồm đi chửi như kiểu ăn mày …",Bệnh viện Bạch Mai,1 sao,"4,3",Tệ,"bệnh viện tệ hại nhất mình từng nằm , nằm 1 tuần , nha vs thì như cái cống , mình bị mất trộm điều trị , thái độ y tá thì chửi như tát nước vào mặt bệnh nhân với người nhà ( ngta không biet mới hỏi hỏi không muốn tổng lợi thi câm mẹ mồm đi chửi như kiểu ăn mày …"
"Dv Tốt, phòng bệnh đẹp sạch như ks 5 sao  nhưng quy mô điều trị nhỏ, số lượng phòng, Giường  bệnh nhân còn thiếu so với nhu Cầu khám ,chữa bệnh  hiện tại của nhân dân, rất nhanh Và thiết thực. Nên đến để thăm khám",Bệnh viện Đại học Y Hà Nội,5 sao,"3,9",Tốt,"dịch vụ tốt, phòng bệnh đẹp sạch như ks 5 sao  nhưng quy mô điều trị nhỏ, số lượng phòng, giường  bệnh nhân còn thiếu so với nhu cầu khám ,chữa bệnh  hiện tại của nhân dân, rất nhanh và thiết thực. nên đến để thăm khám"
"Khoa Nhi bệnh viện Đại Học Y
Các bác sĩ, y ta nhiệt tình, tận tâm, chu đáo. Vào viện sạch sẽ, gọn gàng, phòng bệnh sinh hoạt thoải mái như ở nhà.... …",Bệnh viện Đại học Y Hà Nội,5 sao,"3,9",Tốt,"khoa nhi bệnh viện đại học y
các bác sĩ, y ta nhiệt tình, tận tâm, chu đáo. vào viện sạch sẽ, gọn gàng, phòng bệnh sinh hoạt thoải mái như ở nhà.... …"
Có những bàn giúp đỡ chỉ dẫn cho người bệnh . Mình đưa con đến khám da nên thấy mọi thứ làm việc khá nhanh .,Bệnh viện Đại học Y Hà Nội,4 sao,"3,9",Tốt,có những bàn giúp đỡ chỉ dẫn cho người bệnh . mình đưa con đến khám da liễu nên thấy mọi thứ làm việc khá nhanh .
"Trước đây hay lên K TW khám nhưng từ khi gia đình có người bệnh đã lựa chọn thăm khám và điều trị tại ĐH Y. Mọi kết quả xét nghiệm/khám bệnh/đơn thuốc đều đc cập nhật tại App đthoai, kể cả stt đỡ phải chạy đi nhiều xem. …",Bệnh viện Đại học Y Hà Nội,5 sao,"3,9",Tốt,"trước đây hay lên không trung ương khám nhưng từ khi gia đình có người bệnh đã lựa chọn thăm khám và điều trị tại đh y. mọi kết quả xét nghiệm/khám bệnh/đơn thuốc đều được cập nhật tại ứng dụng điện thoại, kể cả số thứ tự đỡ phải chạy đi nhiều xem. …"
Bệnh viện khá đông đúc. Mọi người nên đặt lịch khám trước sẽ được ưu tiên hơn. Rất chuyên nghiệp.,Bệnh viện Đại học Y Hà Nội,4 sao,"3,9",Tốt,bệnh viện khá đông đúc. mọi người nên đặt lịch khám trước sẽ được ưu tiên hơn. rất chuyên nghiệp.
Bệnh viện nằm trong khuôn viên  của đại học y hà nội    có thiết kế quy mô đẹp    khang trang sạch sẽ    nhưng hơi nhỏ có đầy đủ trang thiết bị   phục vụ nhu cầu khám chữa bệnh    c,Bệnh viện Đại học Y Hà Nội,4 sao,"3,9",Tốt,bệnh viện nằm truyền khuôn viên  của đại học y hà nội    có thiết kế quy mô đẹp    khang trang sạch sẽ    nhưng hơi nhỏ có đầy đủ trang thiết bị   phục vụ nhu cầu khám chữa bệnh    chị
"Các bạn nhỏ nhà tôi đã gắn bó với Phòng khám số 1 rất nhiều năm. Lúc các bạn còn nhỏ, viêm đường hô hấp suốt, điều tôi vô cùng thích đó là các bác khám nhi rất nhẹ nhàng, hỏi han và kê thuốc cho các cháu rất ít. Điều này chính là sự khác …",Bệnh viện Đại học Y Hà Nội,2 sao,"3,9",Tệ,"các bạn nhỏ nhà tôi đã gắn bó với phòng khám số 1 rất nhiều năm. lúc các bạn còn nhỏ, viêm đường hô hấp suốt, điều tôi vô cùng thích đó là các bác khám nhi rất nhẹ nhàng, hỏi han và kê thuốc cho các cháu rất ít. điều này chính là sự khác …"
"Đặt lịch khám trên app rồi, đến hỏi bàn tiếp đón ở toà A5 còn chỉ sai, đến lúc đi in phiếu khám thì điều dưỡng Hương Giang ở bàn tiếp đón số 1 thái độ, làm hơn 1 tiếng đồng hồ mới in đc cái phiếu để đi khám trên phòng bác sĩ.",Bệnh viện Đại học Y Hà Nội,1 sao,"3,9",Tệ,"đặt lịch khám trên ứng dụng rồi, đến hỏi bàn tiếp đón ở toà a5 còn chỉ sai, đến lúc đi in phiếu khám thì điều dưỡng hương giang ở bàn tiếp đón số 1 thái độ, làm hơn 1 tiếng đồng hồ mới in được cái phiếu để đi khám trên phòng bác sĩ."
"Bệnh viện tuyến trung ương, khá ok về chất lượng. Cũng do lượng bệnh nhân đông quá các bạn nên sắp sếp thời gian đến sớm nhé. Hoặc có thể đặt lịch trước với bệnh viện để khi tới nới không phải sếp hàng lấy phiếu chờ đợi. Các bác có xe ô tô …",Bệnh viện Đại học Y Hà Nội,4 sao,"3,9",Tốt,"bệnh viện tuyến trung ương, khá được về chất lượng. cũng đo lượng bệnh nhân đông quá các bạn nên sắp sếp thời gian đến sớm nhé. hoặc có thể đặt lịch trước với bệnh viện để khi tới nới không phải sếp hàng lấy phiếu chờ đợi. các bác có xe ô tô …"
"Bệnh viện Đại học Y Hà Nội là địa chỉ khám chữa bệnh uy tín, trực thuộc Trường Đại học Y Hà Nội. …",Bệnh viện Đại học Y Hà Nội,5 sao,"3,9",Tốt,"bệnh viện đại học y hà nội là địa chỉ khám chữa bệnh uy tín, trực thuộc trường đại học y hà nội. …"
Bệnh viện làm chán . Bác sĩ vừa khám bệnh vừa dùng điện thoại chơi điện tử. Không bao giờ quay lại sợ,Bệnh Viện Đa Khoa Hòe Nhai,1 sao,"3,5",Tệ,bệnh viện làm chán . bác sĩ vừa khám bệnh vừa dùng điện thoại chơi điện tử. không bao giờ quay lại sợ
Ê mọi người e nói thật nhá bác sĩ ở đây đáng yêu lắm ý người nhà e ai cũng thích ý thái độ mọi người làm việc chu đáo nhiệt tình á nên ai cũng mê 😻 e đi mổ đau gần chết nhưng mà các bác sĩ động viên lắm nha 🩷🩷 nên qua vì chất lượng dịch vụ mà kĩ thuật của bệnh viện này nha …,Bệnh Viện Đa Khoa Hòe Nhai,5 sao,"3,5",Tốt,ê mọi người em nói thật nhá bác sĩ ở đây đáng yêu lắm ý người nhà em ai cũng thích ý thái độ mọi người làm việc chu đáo nhiệt tình á nên ai cũng mê 😻 em đi phẫu thuật đau gần chết nhưng mà các bác sĩ động viên lắm nha 🩷🩷 nên qua vì chất lượng dịch vụ mà kĩ thuật của bệnh viện này nha …
"Nhân viên phục vụ nhiệt tình , Bác sỹ tư vấn tốt , nhà mình có bảo hiểm y tế tại đây",Bệnh Viện Đa Khoa Hòe Nhai,5 sao,"3,5",Tốt,"nhân viên phục vụ nhiệt tình , bác sỹ tư vấn tốt , nhà mình có bảo hiểm y tế tại đây"
"Cơ sở chật chội, khám dịch vụ sức khoẻ lâu la, mất thời gian, ko chuyên nghiệp",Bệnh Viện Đa Khoa Hòe Nhai,2 sao,"3,5",Tệ,"cơ sở chật trội, khám dịch vụ sức khỏe lâu là, mất thời gian, không chuyên nghiệp"
"Tệ thật, bác sỹ lẫn bệnh nhân lèo tèo vài người. Thái độ phục vụ kém",Bệnh Viện Đa Khoa Hòe Nhai,1 sao,"3,5",Tệ,"tệ thật, bác sỹ lẫn bệnh nhân lèo tèo vài người. thái độ phục vụ kém"
"Nâng mũi lần 1 tại đây lệch sống mũi ko dính vào mũi, sửa lần 2 vẫn lệch sống mũi thì lung lay nhưng bác sĩ Phạm Thi Việt Dung đợt ấy đổ tại mũi mình lệch sẵn nên không ăn sống ? Giờ 3 năm rồi vẫn lệch hỏi nhiều nơi thì mới biết đặt sai …",Bệnh Viện Đa Khoa Hòe Nhai,1 sao,"3,5",Tệ,"nâng mũi lần 1 tại đây lệch sống mũi không dính vào mũi, sửa lần 2 vẫn lệch sống mũi thì lung này nhưng bác sĩ phạm thi việt dùng đợt ấy đổ tại mũi mình lệch sẵn nên không ăn sống ? giờ 3 năm rồi vẫn lệch hỏi nhiều nơi thì mới biết đặt sai …"
"E bé nhà e dc 17 tháng tuổi e bị hẹp bao quy đầu , có cặn dẫn đến sưng đỏ. E mới cho bé ra bệnh viện Hoè Nhai vì Cũng sát Tết rồi để cho bé về quê ăn Tết cho yên tâm thì cả bệnh viện ko tiếp đón, bắt đợi 1 thời gian khá lâu, người nọ gọi …",Bệnh Viện Đa Khoa Hòe Nhai,1 sao,"3,5",Tệ,"em bé nhà em dc 17 tháng tuổi em bị hẹp bao quy đầu , có cặn dẫn đến sưng đỏ. em mới cho bé ra bệnh viện hoè nhai vì cũng sát tết rồi để cho bé về quê ăn tết cho yên tâm thì cả bệnh viện không tiếp đón, bắt đợi 1 thời gian khá lâu, người nọ gọi …"
"Khám bệnh nhanh , bs thân thiện , bv sạch",Bệnh Viện Đa Khoa Hòe Nhai,5 sao,"3,5",Tốt,"khám bệnh nhanh , bác sĩ thân thiện , bệnh viện sạch"
"Bệnh nhân đã biết rõ bệnh nhưng muốn đến khám và nhận tư vấn nếu như có thể được tiêm để giảm tình trạng bệnh. Bác sĩ tư vấn đã biết bệnh nhân bị bệnh gì và đọc giấy mua thuốc của bệnh nhân xong, có thể nói 1 câu để bệnh nhân biết và về …",Bệnh Viện Đa Khoa Hòe Nhai,1 sao,"3,5",Tệ,"bệnh nhân đã biết rõ bệnh nhưng muốn đến khám và nhận tư vấn nếu như có thể được tiêm để giảm tình trạng bệnh. bác sĩ tư vấn đã biết bệnh nhân bị bệnh gì và đọc giấy mua thuốc của bệnh nhân xong, có thể nói 1 câu để bệnh nhân biết và về …"
"Nhân viên tư vấn như bố như mẹ khách. Nhân viên nam ngồi ở chỗ trung tâm tiêm chủng Hà Thành bảo khách: “sao chị nói nhiều thế?”. Mình đi khám theo công ty, nên địa chỉ cũng khá xa nhà. Vào xếp thì chờ rất lâu và rất nhiều phòng nên các bạn …",Bệnh viện Đa khoa Hà Thành,1 sao,"2,8",Tệ,"nhân viên tư vấn như bố như mẹ khách. nhân viên nam ngồi ở chỗ trung tâm tiêm chủng hà thành bảo khách: “sao chị nói nhiều thế?”. mình đi khám theo dõi công ty, nên địa chỉ cũng khá xa nhà. vào xếp thì chờ rất lâu và rất nhiều phòng nên các bạn …"
